 "subject" , "predicate" , "object" ,
 "http://xlore.org/venue/42" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept10" ,
 "http://xlore.org/venue/42" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/venue/42" , "http://xlore.org/olympic/property/50" , 高山滑雪（曲道，大曲道） ,
 "http://xlore.org/venue/42" , "http://www.w3.org/2000/01/rdf-schema#label" , 龙平滑雪渡假村 ,
 "http://xlore.org/olympic/instance/644" , "http://xlore.org/olympic/property/5" , "41:13.5_15km-women_2010" ,
 "http://xlore.org/olympic/instance/644" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/olympic/instance/644" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept2" ,
 "http://xlore.org/olympic/instance/644" , "http://www.w3.org/2000/01/rdf-schema#label" , "Elena KHRUSTALEVA" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/51" , "魁特奇,米加" ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/2000/01/rdf-schema#alias" , 第二十一届冬奥会 ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/2000/01/rdf-schema#alias" , "2010年冬季奥林匹克运动会" ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/2000/01/rdf-schema#alias" , 温哥华冬奥会 ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept3" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/35" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/30" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/12" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/15" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/8" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/11" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/40" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/7" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/52" , "http://xlore.org/venue/17" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-menskeleton-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/3000m-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/sprint-15km-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/125km-mass-start-womenbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1500m-menspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/giant-slalom-menalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/2x500m-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/5000m-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/combined-7-5-7-5km-mass-start-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/teams-menski-jumping-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/downhill-womenalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/moguls-menfreestyle-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/singles-womenluge-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/125km-pursuit-menbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/normal-hill-individual-menski-jumping-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/10km-pursuit-womenbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/curling-mencurling-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/giant-parallel-slalom-womensnowboard-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/half-pipe-womensnowboard-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/two-woman-womenbobsleigh-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ski-cross-menfreestyle-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-sprint-mennordic-combined-vancouver-2010" ,
